"common_name","scientific_name","order","family","genus","group_key","group_name","group_note"
"House Finch","Haemorhous mexicanus","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Haemorhous","finch_sparrow","Finches, Sparrows","Fringillidae + Passerellidae -- Fringillidae actually branches off earlier (sister to the whole New World 9-primaried radiation), paired here mainly for size."
"American Goldfinch","Spinus tristis","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Spinus","finch_sparrow","Finches, Sparrows","Fringillidae + Passerellidae -- Fringillidae actually branches off earlier (sister to the whole New World 9-primaried radiation), paired here mainly for size."
"Chipping Sparrow","Spizella passerina","Passeriformes","Passerellidae (New World Sparrows)","Spizella","finch_sparrow","Finches, Sparrows","Fringillidae + Passerellidae -- Fringillidae actually branches off earlier (sister to the whole New World 9-primaried radiation), paired here mainly for size."
"White-throated Sparrow","Zonotrichia albicollis","Passeriformes","Passerellidae (New World Sparrows)","Zonotrichia","finch_sparrow","Finches, Sparrows","Fringillidae + Passerellidae -- Fringillidae actually branches off earlier (sister to the whole New World 9-primaried radiation), paired here mainly for size."
"Savannah Sparrow","Passerculus sandwichensis","Passeriformes","Passerellidae (New World Sparrows)","Passerculus","finch_sparrow","Finches, Sparrows","Fringillidae + Passerellidae -- Fringillidae actually branches off earlier (sister to the whole New World 9-primaried radiation), paired here mainly for size."
"Song Sparrow","Melospiza melodia","Passeriformes","Passerellidae (New World Sparrows)","Melospiza","finch_sparrow","Finches, Sparrows","Fringillidae + Passerellidae -- Fringillidae actually branches off earlier (sister to the whole New World 9-primaried radiation), paired here mainly for size."
"Lincoln's Sparrow","Melospiza lincolnii","Passeriformes","Passerellidae (New World Sparrows)","Melospiza","finch_sparrow","Finches, Sparrows","Fringillidae + Passerellidae -- Fringillidae actually branches off earlier (sister to the whole New World 9-primaried radiation), paired here mainly for size."
"Baltimore Oriole","Icterus galbula","Passeriformes","Icteridae (Troupials and Allies)","Icterus","troupials_cardinals","Orioles, Blackbirds, Tanagers","Icteridae + Cardinalidae -- both in the New World 9-primaried radiation alongside the warblers, which sit between them in phylogenetic sequence. Renders as 2 separate bands in the chart (not adjacent), tied together only by color/legend."
"Red-winged Blackbird","Agelaius phoeniceus","Passeriformes","Icteridae (Troupials and Allies)","Agelaius","troupials_cardinals","Orioles, Blackbirds, Tanagers","Icteridae + Cardinalidae -- both in the New World 9-primaried radiation alongside the warblers, which sit between them in phylogenetic sequence. Renders as 2 separate bands in the chart (not adjacent), tied together only by color/legend."
"Brown-headed Cowbird","Molothrus ater","Passeriformes","Icteridae (Troupials and Allies)","Molothrus","troupials_cardinals","Orioles, Blackbirds, Tanagers","Icteridae + Cardinalidae -- both in the New World 9-primaried radiation alongside the warblers, which sit between them in phylogenetic sequence. Renders as 2 separate bands in the chart (not adjacent), tied together only by color/legend."
"Common Grackle","Quiscalus quiscula","Passeriformes","Icteridae (Troupials and Allies)","Quiscalus","troupials_cardinals","Orioles, Blackbirds, Tanagers","Icteridae + Cardinalidae -- both in the New World 9-primaried radiation alongside the warblers, which sit between them in phylogenetic sequence. Renders as 2 separate bands in the chart (not adjacent), tied together only by color/legend."
"Ovenbird","Seiurus aurocapilla","Passeriformes","Parulidae (New World Warblers)","Seiurus","warblers","Warblers","Real clade, kept fully intact -- no size-based splitting."
"Black-and-white Warbler","Mniotilta varia","Passeriformes","Parulidae (New World Warblers)","Mniotilta","warblers","Warblers","Real clade, kept fully intact -- no size-based splitting."
"Common Yellowthroat","Geothlypis trichas","Passeriformes","Parulidae (New World Warblers)","Geothlypis","warblers","Warblers","Real clade, kept fully intact -- no size-based splitting."
"American Redstart","Setophaga ruticilla","Passeriformes","Parulidae (New World Warblers)","Setophaga","warblers","Warblers","Real clade, kept fully intact -- no size-based splitting."
"Cape May Warbler","Setophaga tigrina","Passeriformes","Parulidae (New World Warblers)","Setophaga","warblers","Warblers","Real clade, kept fully intact -- no size-based splitting."
"Northern Parula","Setophaga americana","Passeriformes","Parulidae (New World Warblers)","Setophaga","warblers","Warblers","Real clade, kept fully intact -- no size-based splitting."
"Magnolia Warbler","Setophaga magnolia","Passeriformes","Parulidae (New World Warblers)","Setophaga","warblers","Warblers","Real clade, kept fully intact -- no size-based splitting."
"Bay-breasted Warbler","Setophaga castanea","Passeriformes","Parulidae (New World Warblers)","Setophaga","warblers","Warblers","Real clade, kept fully intact -- no size-based splitting."
"Blackburnian Warbler","Setophaga fusca","Passeriformes","Parulidae (New World Warblers)","Setophaga","warblers","Warblers","Real clade, kept fully intact -- no size-based splitting."
"Northern Yellow Warbler","Setophaga aestiva","Passeriformes","Parulidae (New World Warblers)","Setophaga","warblers","Warblers","Real clade, kept fully intact -- no size-based splitting."
"Chestnut-sided Warbler","Setophaga pensylvanica","Passeriformes","Parulidae (New World Warblers)","Setophaga","warblers","Warblers","Real clade, kept fully intact -- no size-based splitting."
"Blackpoll Warbler","Setophaga striata","Passeriformes","Parulidae (New World Warblers)","Setophaga","warblers","Warblers","Real clade, kept fully intact -- no size-based splitting."
"Black-throated Blue Warbler","Setophaga caerulescens","Passeriformes","Parulidae (New World Warblers)","Setophaga","warblers","Warblers","Real clade, kept fully intact -- no size-based splitting."
"Pine Warbler","Setophaga pinus","Passeriformes","Parulidae (New World Warblers)","Setophaga","warblers","Warblers","Real clade, kept fully intact -- no size-based splitting."
"Yellow-rumped Warbler","Setophaga coronata","Passeriformes","Parulidae (New World Warblers)","Setophaga","warblers","Warblers","Real clade, kept fully intact -- no size-based splitting."
"Black-throated Green Warbler","Setophaga virens","Passeriformes","Parulidae (New World Warblers)","Setophaga","warblers","Warblers","Real clade, kept fully intact -- no size-based splitting."
"Canada Warbler","Cardellina canadensis","Passeriformes","Parulidae (New World Warblers)","Cardellina","warblers","Warblers","Real clade, kept fully intact -- no size-based splitting."
"Scarlet Tanager","Piranga olivacea","Passeriformes","Cardinalidae (Cardinals and Allies)","Piranga","troupials_cardinals","Orioles, Blackbirds, Tanagers","Icteridae + Cardinalidae -- both in the New World 9-primaried radiation alongside the warblers, which sit between them in phylogenetic sequence. Renders as 2 separate bands in the chart (not adjacent), tied together only by color/legend."
"Northern Cardinal","Cardinalis cardinalis","Passeriformes","Cardinalidae (Cardinals and Allies)","Cardinalis","troupials_cardinals","Orioles, Blackbirds, Tanagers","Icteridae + Cardinalidae -- both in the New World 9-primaried radiation alongside the warblers, which sit between them in phylogenetic sequence. Renders as 2 separate bands in the chart (not adjacent), tied together only by color/legend."
"Rose-breasted Grosbeak","Pheucticus ludovicianus","Passeriformes","Cardinalidae (Cardinals and Allies)","Pheucticus","troupials_cardinals","Orioles, Blackbirds, Tanagers","Icteridae + Cardinalidae -- both in the New World 9-primaried radiation alongside the warblers, which sit between them in phylogenetic sequence. Renders as 2 separate bands in the chart (not adjacent), tied together only by color/legend."
"Indigo Bunting","Passerina cyanea","Passeriformes","Cardinalidae (Cardinals and Allies)","Passerina","troupials_cardinals","Orioles, Blackbirds, Tanagers","Icteridae + Cardinalidae -- both in the New World 9-primaried radiation alongside the warblers, which sit between them in phylogenetic sequence. Renders as 2 separate bands in the chart (not adjacent), tied together only by color/legend."
